,DICE_min,h,w,IOU_min,Tissue_name
17,0.8201686069851465,1,6,0.6951574706698969,GCA066TIB_TISSUE02
56,0.8144096332257837,5,1,0.6869232882193955,GCA066TIB_TISSUE02
15,0.8096089651883643,1,4,0.6801201802704057,GCA066TIB_TISSUE02
18,0.7874747814232671,1,7,0.6494502294538733,GCA066TIB_TISSUE02
47,0.7865281646529337,4,3,0.6481635104682738,GCA066TIB_TISSUE02
49,0.7770201170153082,4,5,0.6353498760085772,GCA066TIB_TISSUE02
51,0.7594789658712173,4,7,0.6122257865660449,GCA066TIB_TISSUE02
63,0.7572935836993262,5,8,0.6093905799196409,GCA066TIB_TISSUE02
68,0.7499617506561234,6,2,0.5999510423379166,GCA066TIB_TISSUE02
118,0.7462431807284143,10,8,0.5952056804460458,GCA066TIB_TISSUE02
16,0.7361666800567741,1,5,0.5824871590581614,GCA066TIB_TISSUE02
48,0.7323355510626293,4,4,0.5777045744846083,GCA066TIB_TISSUE02
69,0.7052389232292317,6,3,0.5446865339728552,GCA066TIB_TISSUE02
19,0.6888450583829346,1,8,0.5253727355314487,GCA066TIB_TISSUE02
74,0.6761807679238871,6,8,0.5107802874743327,GCA066TIB_TISSUE02
83,0.6289969382740938,7,6,0.45878594718984234,GCA066TIB_TISSUE02
71,0.6078501792442358,6,5,0.43662698524376403,GCA066TIB_TISSUE02
52,0.576852473199381,4,8,0.4053356818854925,GCA066TIB_TISSUE02
80,0.040093538776948455,7,3,0.020456863411700096,GCA066TIB_TISSUE02
22,0.9360737069931439,4,2,0.879829470467943,GCA069ACB_TISSUE01
17,0.9286200675329416,3,2,0.8667514103933376,GCA069ACB_TISSUE01
27,0.9256664632010224,5,2,0.8616192564918759,GCA069ACB_TISSUE01
13,0.9193067079426216,2,3,0.8506638420901866,GCA069ACB_TISSUE01
12,0.9033721554702341,2,2,0.823772768470602,GCA069ACB_TISSUE01
23,0.9032886354323947,4,3,0.8236338790822411,GCA069ACB_TISSUE01
19,0.9002708943678541,3,4,0.8186296877632977,GCA069ACB_TISSUE01
26,0.8887480862332934,5,1,0.7997719285996882,GCA069ACB_TISSUE01
6,0.8884320750915468,1,1,0.7992602657770251,GCA069ACB_TISSUE01
14,0.8793863320511605,2,4,0.7847363968536818,GCA069ACB_TISSUE01
5,0.8692164294892276,1,0,0.7686850535833347,GCA069ACB_TISSUE01
28,0.8659237823211064,5,3,0.7635498997531109,GCA069ACB_TISSUE01
0,0.8493464605209897,0,0,0.7381426566554121,GCA069ACB_TISSUE01
20,0.9386671379028517,2,4,0.8844229472439831,GCA069ACB_TISSUE02
21,0.9380345130586958,2,5,0.8833003751943418,GCA069ACB_TISSUE02
11,0.9348809285571342,1,3,0.8777243348865174,GCA069ACB_TISSUE02
12,0.9318414390369039,1,4,0.8723811923547352,GCA069ACB_TISSUE02
41,0.9296681211887621,5,1,0.8685793066551435,GCA069ACB_TISSUE02
3,0.9222541402379071,0,3,0.8557250597478426,GCA069ACB_TISSUE02
22,0.9215803560699992,2,6,0.8545656241122942,GCA069ACB_TISSUE02
2,0.917179608203558,0,2,0.8470283854572787,GCA069ACB_TISSUE02
51,0.9123441495110315,6,3,0.8388169374539532,GCA069ACB_TISSUE02
30,0.9121108062509586,3,6,0.8384225263858701,GCA069ACB_TISSUE02
10,0.9099863031162863,1,2,0.8348393288248437,GCA069ACB_TISSUE02
59,0.9089457957387995,7,3,0.8330894947188124,GCA069ACB_TISSUE02
50,0.903013094884943,6,2,0.8231758197607937,GCA069ACB_TISSUE02
31,0.902288370568851,3,7,0.8219721340079367,GCA069ACB_TISSUE02
43,0.9014969263222575,5,3,0.8206594482290189,GCA069ACB_TISSUE02
52,0.8933281252906273,6,4,0.80722041077011,GCA069ACB_TISSUE02
44,0.885677322918761,5,4,0.794812257826995,GCA069ACB_TISSUE02
23,0.884386994264259,2,7,0.7927363608324111,GCA069ACB_TISSUE02
53,0.8801911983830754,6,5,0.7860191821247892,GCA069ACB_TISSUE02
60,0.8773305205211129,7,4,0.7814682206630807,GCA069ACB_TISSUE02
38,0.8767106213837654,4,6,0.7804850985627352,GCA069ACB_TISSUE02
42,0.8749046458117327,5,2,0.7776271073867851,GCA069ACB_TISSUE02
1,0.8693254184861717,0,1,0.7688555422571334,GCA069ACB_TISSUE02
40,0.8685517965994279,5,0,0.7676460963824876,GCA069ACB_TISSUE02
39,0.8631499393610854,4,7,0.7592469484287062,GCA069ACB_TISSUE02
58,0.8617053742571948,7,2,0.7570143570649652,GCA069ACB_TISSUE02
25,0.8384893890900323,3,1,0.721895591150158,GCA069TIB_TISSUE01
10,0.8035785128243459,1,2,0.671651689172954,GCA069TIB_TISSUE01
53,0.6840243310668097,6,5,0.5197849376815009,GCA069TIB_TISSUE01
8,0.7705904744327685,1,2,0.6267972212735454,GCA069TIB_TISSUE02
13,0.761690329007794,2,1,0.6151048859995443,GCA069TIB_TISSUE02
19,0.7587081078042024,3,1,0.6112245738285432,GCA069TIB_TISSUE02
14,0.7412149041646677,2,2,0.5888335559556304,GCA069TIB_TISSUE02
20,0.6897460320936021,3,2,0.5264216319800348,GCA069TIB_TISSUE02
21,0.6647181026900798,3,3,0.4978110644870055,GCA069TIB_TISSUE02
7,0.5840502424035321,1,1,0.412479496020353,GCA069TIB_TISSUE02
26,0.5312427798058501,4,2,0.36169543373249047,GCA069TIB_TISSUE02
27,0.3329891932533582,4,3,0.19975227029465026,GCA069TIB_TISSUE02
68,0.899968018194094,5,8,0.8181289572296162,GCA071ACB_TISSUE01
93,0.8854778286370456,7,9,0.7944909947858558,GCA071ACB_TISSUE01
17,0.8537573097891237,1,5,0.7448311924519723,GCA071ACB_TISSUE01
81,0.8517504290619718,6,9,0.7417816218874437,GCA071ACB_TISSUE01
105,0.8494992037304235,8,9,0.7383734165894271,GCA071ACB_TISSUE01
69,0.8290700903068847,5,9,0.7080441651064945,GCA071ACB_TISSUE01
70,0.8156893984655799,5,10,0.6887461763905126,GCA071ACB_TISSUE01
80,0.7860337638117931,6,8,0.6474922781047847,GCA071ACB_TISSUE01
104,0.7751967416364348,8,8,0.6329153162705979,GCA071ACB_TISSUE01
56,0.7266484483602705,4,8,0.5706581559700034,GCA071ACB_TISSUE01
94,0.719341924154523,7,10,0.561697097548556,GCA071ACB_TISSUE01
92,0.6993606543213432,7,8,0.5377052882837601,GCA071ACB_TISSUE01
82,0.6931183575884813,6,10,0.5303604665450093,GCA071ACB_TISSUE01
103,0.6610172035586471,8,7,0.49367116987271875,GCA071ACB_TISSUE01
106,0.5845778549254447,8,10,0.4130060116408966,GCA071ACB_TISSUE01
117,0.5760028768678102,9,9,0.4044972194893541,GCA071ACB_TISSUE01
79,0.5708717786890336,6,7,0.39945455570484933,GCA071ACB_TISSUE01
83,0.559617107346288,6,11,0.38851968473137627,GCA071ACB_TISSUE01
91,0.54849986495624,7,7,0.37788481841216215,GCA071ACB_TISSUE01
